,City,Province,Population,Area,Density,Income,URL,Latitude,Longitude
99,Enschede,Overijssel,157907,141.09,1122.0,11500,https://nl.wikipedia.org/wiki/Enschede,52.219444444444,6.8963888888889
100,Epe,Gelderland,32978,156.21,206.1,13100,https://nl.wikipedia.org/wiki/Epe_(gemeente),52.333333333333,5.9166666666667
101,Ermelo,Gelderland,26761,85.67,306.6,13700,https://nl.wikipedia.org/wiki/Ermelo_(gemeente),52.283333333333,5.6666666666667
102,Etten-Leur,Noord-Brabant,43498,55.46,767.2,13100,https://nl.wikipedia.org/wiki/Etten-Leur,51.570555555556,4.6355555555556
103,Ferwerderadeel,Friesland,8677,97.65,89.4,11400,https://nl.wikipedia.org/wiki/Ferwerderadeel,53.329444444444,5.8408333333333
104,Geertruidenberg,Noord-Brabant,21504,27.02,799.7,13300,https://nl.wikipedia.org/wiki/Geertruidenberg_(gemeente),51.700833333333,4.8602777777778
105,Geldermalsen,Gelderland,26964,99.7,263.5,13800,https://nl.wikipedia.org/wiki/Geldermalsen_(gemeente),51.883333333333,5.2833333333333
106,Geldrop-Mierlo,Noord-Brabant,39458,31.06,1251.3,13700,https://nl.wikipedia.org/wiki/Geldrop-Mierlo,51.433611111111,5.5880555555556
107,Gemert-Bakel,Noord-Brabant,30429,122.75,240.9,12500,https://nl.wikipedia.org/wiki/Gemert-Bakel,51.531111111111,5.7194444444444
108,Gennep,Limburg,17007,48.02,358.3,13000,https://nl.wikipedia.org/wiki/Gennep_(gemeente),51.694166666667,5.9733333333333
109,Giessenlanden,Zuid-Holland,14564,63.57,227.9,14100,https://nl.wikipedia.org/wiki/Giessenlanden,51.881666666667,4.8955555555556
110,Gilze en Rijen,Noord-Brabant,26399,65.54,398.1,12800,https://nl.wikipedia.org/wiki/Gilze_en_Rijen,51.561388888889,4.9333333333333
111,Goeree-Overflakkee,Zuid-Holland,49313,262.03,184.1,13000,https://nl.wikipedia.org/wiki/Goeree-Overflakkee,51.749138888889,4.1294861111111
112,Goes,Zeeland,37632,92.84,400.6,13400,https://nl.wikipedia.org/wiki/Goes_(gemeente),51.514722222222,3.8258333333333
113,Goirle,Noord-Brabant,23562,42.04,546.8,14000,https://nl.wikipedia.org/wiki/Goirle_(gemeente),51.52028,5.067101
114,Gooise Meren,Noord-Holland,56838,73.5,1421.0,,https://nl.wikipedia.org/wiki/Gooise_Meren,52.266667,5.166667
115,Gorinchem,Zuid-Holland,36439,18.96,1856.6,12800,https://nl.wikipedia.org/wiki/Gorinchem,51.830555555556,4.9741666666667
116,Gouda,Zuid-Holland,72825,16.92,4197.3,13400,https://nl.wikipedia.org/wiki/Gouda_(hoofdbetekenis),52.018055555556,4.7055555555556
117,Grave,Noord-Brabant,12416,27.21,470.9,12700,https://nl.wikipedia.org/wiki/Grave_(gemeente),51.759166666667,5.7383333333333
118,Groningen,Groningen,202332,79.59,2515.5,12300,https://nl.wikipedia.org/wiki/Groningen_(gemeente),53.216666666667,6.5666666666667
119,Grootegast,Groningen,12148,86.88,139.7,11400,https://nl.wikipedia.org/wiki/Grootegast_(gemeente),53.209116666667,6.2673555555556
120,Gulpen-Wittem,Limburg,14247,73.18,199.6,13000,https://nl.wikipedia.org/wiki/Gulpen-Wittem,50.816111111111,5.8983333333333
121,Haaksbergen,Overijssel,24282,104.92,231.7,12600,https://nl.wikipedia.org/wiki/Haaksbergen,52.154722222222,6.7419444444444
122,Haaren,Noord-Brabant,14157,57.67,234.7,13900,https://nl.wikipedia.org/wiki/Haaren_(gemeente),51.601666666667,5.2227777777778
123,Haarlem,Noord-Holland,160287,29.32,5356.7,14200,https://nl.wikipedia.org/wiki/Haarlem,52.380277777778,4.6405555555556
124,Haarlemmerliede en Spaarnwoude,Noord-Holland,5885,19.25,288.0,14700,https://nl.wikipedia.org/wiki/Haarlemmerliede_en_Spaarnwoude,52.397222222222,4.7119444444444
