,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
38,Beuningen (Gelderland),Restaurant,Movie Theater,Café,Supermarket,Castle,3,Gelderland,25833,43.86,575.9,13100,https://nl.wikipedia.org/wiki/Beuningen_(Gelderland),https://nl.wikipedia.org/wiki/Bestand:Beuningen_flag.svg,51.85,5.75
39,Beverwijk,Flea Market,Café,Restaurant,Supermarket,Gym Pool,4,Noord-Holland,41075,18.57,2163.8,13300,https://nl.wikipedia.org/wiki/Beverwijk,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Beverwijk.svg,52.486388888889,4.6563888888889
40,Binnenmaas,Restaurant,Supermarket,Bar,Ice Cream Shop,Outdoor Supply Store,4,Zuid-Holland,29262,50.34,568.3,14600,https://nl.wikipedia.org/wiki/Binnenmaas,https://nl.wikipedia.org/wiki/Bestand:Binnenmaas_vlag.svg,51.809166666667,4.5080555555556
41,Bladel (gemeente),Restaurant,Diner,Supermarket,Soccer Field,Campground,2,Noord-Brabant,20140,75.42,263.6,13000,https://nl.wikipedia.org/wiki/Bladel_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bladel.svg,51.366666666667,5.2166666666667
42,Blaricum,Restaurant,Bistro,Ice Cream Shop,Pub,Supermarket,2,Noord-Holland,11093,11.13,840.3,21500,https://nl.wikipedia.org/wiki/Blaricum,https://nl.wikipedia.org/wiki/Bestand:Blaricum_vlag.svg,52.272777777778,5.2422222222222
43,Bloemendaal (Noord-Holland),Restaurant,Snack Place,Playground,French Restaurant,Park,2,Noord-Holland,23273,37.93,584.8,22400,https://nl.wikipedia.org/wiki/Bloemendaal_(Noord-Holland),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bloemendaal.svg,52.402777777778,4.6280555555556
44,Bodegraven-Reeuwijk,Supermarket,Ice Cream Shop,Restaurant,Gym,Shopping Mall,4,Zuid-Holland,34076,37.48,887.7,13500,https://nl.wikipedia.org/wiki/Bodegraven-Reeuwijk,https://nl.wikipedia.org/wiki/Bestand:Bodegraven-Reeuwijk_Vlag.png,52.061777777778,4.7268666666667
45,Boekel (gemeente),Café,Ice Cream Shop,Bar,Supermarket,Bistro,3,Noord-Brabant,10543,34.51,295.2,12200,https://nl.wikipedia.org/wiki/Boekel_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Boekel.svg,51.601111111111,5.6741666666667
46,Bonaire,Beach,Grocery Store,BBQ Joint,Lounge,Japanese Restaurant,3,Geen,15414,288.0,53.5,,https://nl.wikipedia.org/wiki/Bonaire,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bonaire.svg,12.185277777778,-68.261944444444
47,Borger-Odoorn,Restaurant,Bar,Café,Supermarket,Resort,2,Drenthe,25309,275.18,92.6,12200,https://nl.wikipedia.org/wiki/Borger-Odoorn,https://nl.wikipedia.org/wiki/Bestand:Borger-Odoorn_vlag.svg,52.866666666667,6.85
48,Borne (Overijssel),Shopping Mall,Restaurant,Café,Electronics Store,Fast Food Restaurant,3,Overijssel,23186,26.0,852.5,13100,https://nl.wikipedia.org/wiki/Borne_(Overijssel),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Borne_(Overijssel).svg,52.3,6.75
49,Borsele (gemeente),Restaurant,Bar,Clothing Store,Café,Campground,2,Zeeland,22799,142.03,158.8,12600,https://nl.wikipedia.org/wiki/Borsele_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Borsele.svg,51.426111111111,3.8216666666667
50,Boxmeer (gemeente),Café,Ice Cream Shop,Restaurant,Supermarket,Diner,4,Noord-Brabant,28941,111.56,255.1,13300,https://nl.wikipedia.org/wiki/Boxmeer_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Boxmeer_vlag.svg,51.648333333333,5.9444444444444
51,Boxtel (gemeente),Restaurant,Café,Gastropub,Bar,Fast Food Restaurant,2,Noord-Brabant,30621,63.7,475.8,13200,https://nl.wikipedia.org/wiki/Boxtel_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Boxtel_vlag.svg,51.591111111111,5.3275
52,Breda (gemeente),Coffee Shop,Bar,Restaurant,Sushi Restaurant,Diner,0,Noord-Brabant,183851,126.87,1432.8,13800,https://nl.wikipedia.org/wiki/Breda_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Breda.svg,51.5875,4.775
53,Brielle,Supermarket,Restaurant,Soccer Field,Diner,Beach,4,Zuid-Holland,17107,27.49,602.3,14600,https://nl.wikipedia.org/wiki/Brielle,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Brielle.svg,51.903055555556,4.1638888888889
54,Bronckhorst (hoofdbetekenis),Restaurant,Bar,Campground,Ice Cream Shop,Gastropub,2,Gelderland,36281,283.63,129.2,13400,https://nl.wikipedia.org/wiki/Bronckhorst_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Bronckhorst_vlag.svg,52.05,6.3
55,Brummen (gemeente),Restaurant,Supermarket,Café,Bar,Coffee Shop,2,Gelderland,20747,84.01,249.4,13400,https://nl.wikipedia.org/wiki/Brummen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Brummen_vlag.svg,52.1,6.1
56,Brunssum,Supermarket,Fast Food Restaurant,Soccer Field,Café,Diner,4,Limburg,28209,17.17,1664.4,12000,https://nl.wikipedia.org/wiki/Brunssum,https://nl.wikipedia.org/wiki/Bestand:Brunssum_vlag.svg,50.949166666667,5.97
57,Bunnik (gemeente),Restaurant,Garden,Athletics & Sports,Shopping Mall,Furniture / Home Store,3,Utrecht,15185,36.95,396.6,15900,https://nl.wikipedia.org/wiki/Bunnik_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bunnik.svg,52.067222222222,5.1969444444444
58,Bunschoten,Restaurant,Tennis Court,Gym,Furniture / Home Store,Café,3,Utrecht,21437,30.5,677.5,12400,https://nl.wikipedia.org/wiki/Bunschoten,https://nl.wikipedia.org/wiki/Bestand:Bunschoten_vlag.svg,52.248055555556,5.3736111111111
59,Buren (gemeente),Restaurant,Diner,Theater,Hotel,Ice Cream Shop,2,Gelderland,26431,134.66,194.4,13400,https://nl.wikipedia.org/wiki/Buren_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Buren.svg,51.910555555556,5.3333333333333
60,Capelle aan den IJssel,Shopping Mall,Restaurant,Furniture / Home Store,Park,Creperie,4,Zuid-Holland,66992,14.3,4642.6,13900,https://nl.wikipedia.org/wiki/Capelle_aan_den_IJssel,https://nl.wikipedia.org/wiki/Bestand:Capelle_aan_den_IJssel_vlag.svg,51.93,4.59
61,Castricum,Beach,Restaurant,Supermarket,Diner,Café,2,Noord-Holland,35627,49.5,693.9,15000,https://nl.wikipedia.org/wiki/Castricum,https://nl.wikipedia.org/wiki/Bestand:Castricum_vlag.svg,52.551666666667,4.6583333333333
62,Coevorden,Shopping Mall,Café,Restaurant,Supermarket,Stables,3,Drenthe,35266,296.68,119.7,12300,https://nl.wikipedia.org/wiki/Coevorden,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Coevorden.svg,52.65,6.7333333333333
63,Cranendonck,Bar,Supermarket,Soccer Field,Café,Friterie,1,Noord-Brabant,20320,76.79,266.8,13300,https://nl.wikipedia.org/wiki/Cranendonck,https://nl.wikipedia.org/wiki/Bestand:Cranendonck_vlag.svg,51.285277777778,5.5880555555556
