,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
185,Leidschendam-Voorburg,Restaurant,Supermarket,Italian Restaurant,Pool,Playground,2,Zuid-Holland,75017,32.82,2258.0,15600,https://nl.wikipedia.org/wiki/Leidschendam-Voorburg,https://nl.wikipedia.org/wiki/Bestand:Leidschendam-Voorburg_vlag.svg,52.09,4.39
186,Lelystad,Clothing Store,Restaurant,Sporting Goods Shop,Park,Supermarket,3,Flevoland,77495,234.13,326.0,12400,https://nl.wikipedia.org/wiki/Lelystad,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Lelystad.svg,52.507777777778,5.4794444444444
187,Leudal (gemeente),Clothing Store,Gastropub,Bar,Boutique,Supermarket,6,Limburg,35709,162.93,222.5,13200,https://nl.wikipedia.org/wiki/Leudal_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Leudal_vlag.svg,51.250741666667,5.8969111111111
188,Leusden,Restaurant,Café,Park,Supermarket,Gastropub,0,Utrecht,29708,58.68,496.1,15100,https://nl.wikipedia.org/wiki/Leusden,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Leusden.svg,52.133055555556,5.4297222222222
189,Lingewaal,Restaurant,Diner,Bar,Park,Scenic Lookout,3,Gelderland,11170,50.59,218.6,13400,https://nl.wikipedia.org/wiki/Lingewaal,https://nl.wikipedia.org/wiki/Bestand:Lingewaal_vlag.svg,51.883333333333,5.1166666666667
190,Lingewaard,Supermarket,Restaurant,Café,Garden Center,Soccer Field,4,Gelderland,46313,62.72,730.4,12900,https://nl.wikipedia.org/wiki/Lingewaard,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Lingewaard.svg,51.9,5.9
191,Lisse,French Restaurant,Park,Café,Harbor / Marina,Restaurant,4,Zuid-Holland,22756,15.7,1436.1,13700,https://nl.wikipedia.org/wiki/Lisse,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Lisse.svg,52.259722222222,4.5611111111111
192,Lochem (gemeente),Restaurant,Hotel Bar,Italian Restaurant,Park,Fast Food Restaurant,2,Gelderland,33580,213.31,155.9,14500,https://nl.wikipedia.org/wiki/Lochem_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Lochem.svg,52.160555555556,6.4325
193,Loon op Zand (gemeente),Café,Diner,Supermarket,Restaurant,Campground,4,Noord-Brabant,23191,50.05,458.5,13200,https://nl.wikipedia.org/wiki/Loon_op_Zand_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Loon_op_Zand.svg,51.6275,5.0758333333333
194,Lopik (gemeente),Restaurant,Diner,Garden Center,Ice Cream Shop,Supermarket,2,Utrecht,14407,75.78,186.1,13300,https://nl.wikipedia.org/wiki/Lopik_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Lopik_vlag.svg,51.972222222222,4.9463888888889
195,Loppersum (gemeente),French Restaurant,Clothing Store,Soccer Field,Hotel,Snack Place,3,Groningen,9676,111.02,90.8,12000,https://nl.wikipedia.org/wiki/Loppersum_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Loppersum_vlag.svg,53.316666666667,6.7333333333333
196,Losser (gemeente),Supermarket,Furniture / Home Store,Bar,Golf Course,Gym,3,Overijssel,22568,98.95,227.2,12200,https://nl.wikipedia.org/wiki/Losser_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Losser.svg,52.261666666667,7.0044444444444
197,Maasdriel,Supermarket,Restaurant,Bar,Chinese Restaurant,Hotel,4,Gelderland,24456,66.27,364.9,13300,https://nl.wikipedia.org/wiki/Maasdriel,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Maasdriel.svg,51.766666666667,5.3333333333333
198,Maasgouw (gemeente),Restaurant,Supermarket,Bar,Hotel,Greek Restaurant,1,Limburg,23702,45.99,516.0,13200,https://nl.wikipedia.org/wiki/Maasgouw_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Maasgouw_vlag.svg,51.15,5.8833333333333
199,Maassluis,Restaurant,Supermarket,Bakery,Café,Sandwich Place,4,Zuid-Holland,32593,8.6,3744.0,13500,https://nl.wikipedia.org/wiki/Maassluis,https://nl.wikipedia.org/wiki/Bestand:Maassluis_flag.svg,51.918888888889,4.2566666666667
200,Maastricht,Bar,Coffee Shop,Clothing Store,French Restaurant,Gastropub,6,Limburg,121773,56.8,2154.2,12500,https://nl.wikipedia.org/wiki/Maastricht,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Maastricht.svg,50.849722222222,5.6930555555556
201,Marum (gemeente),Restaurant,Gym / Fitness Center,Baseball Field,Supermarket,Scenic Lookout,3,Groningen,10452,64.51,159.7,12200,https://nl.wikipedia.org/wiki/Marum_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Marum.svg,53.133333333333,6.25
202,Medemblik (gemeente),Supermarket,Restaurant,Golf Course,French Restaurant,Harbor / Marina,3,Noord-Holland,44624,121.81,358.1,13400,https://nl.wikipedia.org/wiki/Medemblik_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Medemblik.svg,52.743888888889,5.0613888888889
203,Meerssen (gemeente),Bar,Supermarket,Restaurant,Soccer Field,Trail,1,Limburg,18957,27.15,702.1,13700,https://nl.wikipedia.org/wiki/Meerssen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Meerssen_vlag.svg,50.885833333333,5.7519444444444
204,Meppel,Restaurant,Café,Italian Restaurant,Diner,Supermarket,5,Drenthe,33571,55.68,589.3,12800,https://nl.wikipedia.org/wiki/Meppel,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Meppel.svg,52.7,6.1833333333333
205,Middelburg (gemeente),Restaurant,Café,Supermarket,Shopping Mall,Pool,2,Zeeland,48445,48.64,979.9,12900,https://nl.wikipedia.org/wiki/Middelburg_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Middelburg_vlag.svg,51.5,3.6166666666667
206,Midden-Delfland,Supermarket,Gym,Soccer Field,Bakery,Restaurant,4,Zuid-Holland,19372,47.45,394.4,14200,https://nl.wikipedia.org/wiki/Midden-Delfland,https://nl.wikipedia.org/wiki/Bestand:Midden_Delfland_vlag.svg,51.962222222222,4.2997222222222
207,Midden-Drenthe,Restaurant,Café,Diner,Gym,River,2,Drenthe,33141,341.53,97.4,12400,https://nl.wikipedia.org/wiki/Midden-Drenthe,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Midden-Drenthe.svg,52.85,6.5
208,Mill en Sint Hubert,Supermarket,Snack Place,Café,Diner,Bar,4,Noord-Brabant,10821,52.22,206.6,12000,https://nl.wikipedia.org/wiki/Mill_en_Sint_Hubert,https://nl.wikipedia.org/wiki/Bestand:Mill_en_Sint_Hubert_vlag.svg,51.680833333333,5.7952777777778
209,Moerdijk (gemeente),Restaurant,Supermarket,French Restaurant,Harbor / Marina,Café,2,Noord-Brabant,36933,159.1,231.0,13400,https://nl.wikipedia.org/wiki/Moerdijk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Moerdijk.svg,51.655,4.5325
210,Molenwaard,Restaurant,Furniture / Home Store,Park,Pool,Kids Store,3,Zuid-Holland,29291,118.58,244.5,12500,https://nl.wikipedia.org/wiki/Molenwaard,https://nl.wikipedia.org/wiki/Bestand:Molenwaard_vlag.svg,51.866666666667,4.7833333333333
211,Montferland (gemeente),Restaurant,French Restaurant,Diner,Café,Gym,3,Gelderland,35777,105.63,332.8,12500,https://nl.wikipedia.org/wiki/Montferland_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Montferland_logo.svg,51.933333333333,6.15
212,Montfoort,Supermarket,Restaurant,Fast Food Restaurant,French Restaurant,Soccer Field,4,Utrecht,13992,37.75,363.1,13800,https://nl.wikipedia.org/wiki/Montfoort,https://nl.wikipedia.org/wiki/Bestand:Montfoort_vlag.svg,52.045,4.9508333333333
213,Mook en Middelaar,Restaurant,Supermarket,Café,Soccer Field,Diner,2,Limburg,7770,17.38,445.7,14800,https://nl.wikipedia.org/wiki/Mook_en_Middelaar,https://nl.wikipedia.org/wiki/Bestand:Mook_en_Middelaar_vlag.svg,51.7525,5.8816666666667
214,Neder-Betuwe (gemeente),Restaurant,Exhibit,Diner,Bar,Supermarket,2,Gelderland,23674,61.12,372.9,11600,https://nl.wikipedia.org/wiki/Neder-Betuwe_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Neder-Betuwe_vlag_2014.svg,51.933333333333,5.6333333333333
215,Nederweert (gemeente),Bar,Restaurant,Ice Cream Shop,Café,Sushi Restaurant,1,Limburg,16953,100.28,167.3,12500,https://nl.wikipedia.org/wiki/Nederweert_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Nederweert_flag.svg,51.282777777778,5.7472222222222
216,Neerijnen (gemeente),Restaurant,Campground,Hotel,Bar,Brewery,2,Gelderland,12381,66.03,182.6,13200,https://nl.wikipedia.org/wiki/Neerijnen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Neerijnen_vlag.svg,51.833333333333,5.2833333333333
217,Nieuwegein,Restaurant,Shopping Mall,Supermarket,Park,Fast Food Restaurant,4,Utrecht,62674,23.72,2583.5,14000,https://nl.wikipedia.org/wiki/Nieuwegein,https://nl.wikipedia.org/wiki/Bestand:Nieuwegein_flag.svg,52.031388888889,5.0919444444444
218,Nieuwkoop,Supermarket,Bar,Hockey Field,Diner,Café,4,Zuid-Holland,28432,91.18,298.8,14100,https://nl.wikipedia.org/wiki/Nieuwkoop,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Nieuwkoop.svg,52.150277777778,4.7827777777778
219,Nijkerk (gemeente),Restaurant,Café,Hotel,Gym,Gym / Fitness Center,2,Gelderland,42544,69.51,588.5,13400,https://nl.wikipedia.org/wiki/Nijkerk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Nijkerk_vlag.svg,52.2,5.4833333333333
220,Nijmegen (hoofdbetekenis),Restaurant,Bar,Café,Grocery Store,Diner,1,Gelderland,176162,53.59,3189.8,12600,https://nl.wikipedia.org/wiki/Nijmegen_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Nijmegen.svg,51.833333333333,5.8666666666667
221,Noord-Beveland,Restaurant,Beach,Campground,French Restaurant,Resort,5,Zeeland,7281,86.08,86.0,13400,https://nl.wikipedia.org/wiki/Noord-Beveland,https://nl.wikipedia.org/wiki/Bestand:Noord-Beveland_vlag.svg,51.575277777778,3.7708333333333
222,Noordenveld (gemeente),Restaurant,Sauna / Steam Room,Hotel,Bakery,Garden,3,Drenthe,31353,201.22,154.7,13400,https://nl.wikipedia.org/wiki/Noordenveld_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Noordenveld.svg,53.133333333333,6.4166666666667
223,Noordoostpolder,Snack Place,Hotel,Restaurant,Café,Golf Course,3,Flevoland,46589,460.05,101.0,11800,https://nl.wikipedia.org/wiki/Noordoostpolder,https://nl.wikipedia.org/wiki/Bestand:Noordoostpolder_vlag.svg,52.71,5.7052777777778
224,Noordwijk (Zuid-Holland),Restaurant,Beach,Café,Beach Bar,French Restaurant,5,Zuid-Holland,26112,35.41,722.8,15000,https://nl.wikipedia.org/wiki/Noordwijk_(Zuid-Holland),https://nl.wikipedia.org/wiki/Bestand:Noordwijk_vlag.svg,52.239444444444,4.4477777777778
225,Noordwijkerhout,Café,Restaurant,Italian Restaurant,Beach,Flower Shop,2,Zuid-Holland,16584,22.6,712.6,13800,https://nl.wikipedia.org/wiki/Noordwijkerhout,https://nl.wikipedia.org/wiki/Bestand:Noordwijkerhout_vlag.svg,52.259444444444,4.4919444444444
226,"Nuenen, Gerwen en Nederwetten",Park,Supermarket,Sandwich Place,Restaurant,Diner,4,Noord-Brabant,23060,33.88,666.0,15200,"https://nl.wikipedia.org/wiki/Nuenen,_Gerwen_en_Nederwetten",https://nl.wikipedia.org/wiki/Bestand:Flag_of_Nuenen.svg,51.486944444444,5.5258333333333
227,Nunspeet (gemeente),Restaurant,French Restaurant,Café,Hotel,Steakhouse,3,Gelderland,27179,128.73,207.7,12400,https://nl.wikipedia.org/wiki/Nunspeet_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Nunspeet_vlag.svg,52.333333333333,5.7833333333333
228,Nuth (gemeente),Supermarket,Bar,Restaurant,Fast Food Restaurant,Italian Restaurant,1,Limburg,15195,33.15,467.2,13800,https://nl.wikipedia.org/wiki/Nuth_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Nuth_vlag.svg,50.910833333333,5.8586111111111
229,Oegstgeest,Restaurant,Park,Supermarket,Café,Bar,4,Zuid-Holland,23958,7.21,3192.4,16800,https://nl.wikipedia.org/wiki/Oegstgeest,https://nl.wikipedia.org/wiki/Bestand:Oegstgeest_Netherlands.svg,52.183330555556,4.4736111111111
230,Oirschot (gemeente),Restaurant,Supermarket,Bar,Diner,Café,1,Noord-Brabant,18580,101.75,177.6,13400,https://nl.wikipedia.org/wiki/Oirschot_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Oirschot_vlag.svg,51.504722222222,5.3127777777778
231,Oisterwijk (gemeente),Café,Restaurant,Supermarket,Breakfast Spot,Creperie,0,Noord-Brabant,26162,65.13,396.0,14300,https://nl.wikipedia.org/wiki/Oisterwijk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Oisterwijk.svg,51.583333333333,5.2
232,Oldambt (gemeente),Supermarket,Restaurant,Snack Place,Theater,Garden Center,3,Groningen,38033,163.7,168.0,,https://nl.wikipedia.org/wiki/Oldambt_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Oldambt_vlag.svg,53.199452777778,7.0848083333333
233,Oldebroek (gemeente),Restaurant,Campground,Bar,Beach,Farm,3,Gelderland,23465,97.63,235.6,12000,https://nl.wikipedia.org/wiki/Oldebroek_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Oldebroek_vlag.svg,52.466666666667,5.9166666666667
234,Oldenzaal,Shopping Mall,Bar,Chinese Restaurant,Café,Farm,3,Overijssel,31821,21.59,1484.3,12800,https://nl.wikipedia.org/wiki/Oldenzaal,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Oldenzaal.svg,52.3,6.9166666666667
235,Olst-Wijhe,Restaurant,Diner,Trail,Café,Chinese Restaurant,3,Overijssel,18002,114.16,156.4,12600,https://nl.wikipedia.org/wiki/Olst-Wijhe,https://nl.wikipedia.org/wiki/Bestand:Olst-Wijhe_vlag.svg,52.333333333333,6.1
236,Ommen (gemeente),Restaurant,Campground,Café,Soccer Field,Ice Cream Shop,2,Overijssel,17686,179.99,97.2,12900,https://nl.wikipedia.org/wiki/Ommen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Ommen.svg,52.516666666667,6.4166666666667
237,Onderbanken,Supermarket,Restaurant,Pizza Place,Grocery Store,Trail,4,Limburg,7775,21.18,371.3,12000,https://nl.wikipedia.org/wiki/Onderbanken,https://nl.wikipedia.org/wiki/Bestand:Onderbanken_vlag.svg,50.968055555556,5.9719444444444
238,Oost Gelre,Restaurant,Supermarket,Bar,Campground,Soccer Field,2,Gelderland,29655,83.07,355.2,12300,https://nl.wikipedia.org/wiki/Oost_Gelre,https://nl.wikipedia.org/wiki/Bestand:Oost_Gelre_vlag.svg,51.983333333333,6.5833333333333
239,Oosterhout (gemeente),Golf Course,Restaurant,Tapas Restaurant,Café,Pool,3,Noord-Brabant,55286,71.59,750.2,13600,https://nl.wikipedia.org/wiki/Oosterhout_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Oosterhout.svg,51.643333333333,4.8566666666667
240,Ooststellingwerf,Restaurant,History Museum,Breakfast Spot,Soccer Field,Fast Food Restaurant,3,Friesland,25419,224.38,114.2,11900,https://nl.wikipedia.org/wiki/Ooststellingwerf,https://nl.wikipedia.org/wiki/Bestand:Ooststellingwerf_flag.svg,52.9875,6.2913888888889
241,Oostzaan,Restaurant,Park,Café,Ice Cream Shop,Bar,2,Noord-Holland,9748,11.49,805.9,14200,https://nl.wikipedia.org/wiki/Oostzaan,https://nl.wikipedia.org/wiki/Bestand:Oostzaan_vlag.svg,52.440555555556,4.8788888888889
242,Opmeer,Supermarket,Gym,Restaurant,Bookstore,Spanish Restaurant,3,Noord-Holland,11570,41.66,270.9,13100,https://nl.wikipedia.org/wiki/Opmeer,https://nl.wikipedia.org/wiki/Bestand:Opmeer_vlag.svg,52.703333333333,4.9444444444444
243,Opsterland,Restaurant,Soccer Field,Supermarket,Bakery,Athletics & Sports,3,Friesland,29735,225.07,132.5,12500,https://nl.wikipedia.org/wiki/Opsterland,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Opsterland.svg,53.003611111111,6.0663888888889
244,Oss (gemeente),Diner,Restaurant,Park,Tea Room,Coffee Shop,3,Noord-Brabant,91057,152.5,589.5,13000,https://nl.wikipedia.org/wiki/Oss_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Oss.svg,51.765288888889,5.5233777777778
245,Oud-Beijerland,Restaurant,Supermarket,Shopping Mall,Café,Clothing Store,2,Zuid-Holland,24295,18.76,1263.0,13700,https://nl.wikipedia.org/wiki/Oud-Beijerland,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Oud-Beijerland.svg,51.812436111111,4.4075777777778
246,Oude IJsselstreek,Supermarket,Restaurant,Snack Place,Café,Soccer Field,3,Gelderland,39527,136.47,289.5,12100,https://nl.wikipedia.org/wiki/Oude_IJsselstreek,https://nl.wikipedia.org/wiki/Bestand:Oude_IJsselstreek_vlag.svg,51.866666666667,6.3833333333333
247,Ouder-Amstel,Restaurant,Golf Course,Sporting Goods Shop,Hockey Field,Supermarket,2,Noord-Holland,13636,24.12,551.8,16300,https://nl.wikipedia.org/wiki/Ouder-Amstel,https://nl.wikipedia.org/wiki/Bestand:Ouder-Amstel_flag.svg,52.290555555556,4.9116666666667
248,Oudewater,Restaurant,Supermarket,Fast Food Restaurant,Park,Sandwich Place,4,Utrecht,10201,39.34,252.3,14300,https://nl.wikipedia.org/wiki/Oudewater,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Oudewater.svg,52.026666666667,4.8686111111111
249,Overbetuwe,Supermarket,Restaurant,Garden Center,Multiplex,Gym / Fitness Center,4,Gelderland,47469,109.59,427.4,13000,https://nl.wikipedia.org/wiki/Overbetuwe,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Overbetuwe.svg,51.916666666667,5.85
250,Papendrecht,Restaurant,Café,Ice Cream Shop,Park,Theater,0,Zuid-Holland,32306,9.47,3394.0,13600,https://nl.wikipedia.org/wiki/Papendrecht,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Papendrecht.svg,51.829444444444,4.6891666666667
251,Peel en Maas,Bar,Diner,Campground,Hotel,Movie Theater,3,Limburg,43331,161.3,269.3,,https://nl.wikipedia.org/wiki/Peel_en_Maas,https://nl.wikipedia.org/wiki/Bestand:Peel_en_Maas_vlag.svg,51.34005,6.0108944444444
252,Pekela,Supermarket,Restaurant,Shopping Mall,Asian Restaurant,Garden Center,3,Groningen,12229,49.12,258.1,11100,https://nl.wikipedia.org/wiki/Pekela,https://nl.wikipedia.org/wiki/Bestand:Pekela_vlag.svg,53.1,7.0
253,Pijnacker-Nootdorp,Restaurant,Shopping Mall,Soccer Field,Supermarket,Farm,4,Zuid-Holland,53830,37.65,1365.2,14300,https://nl.wikipedia.org/wiki/Pijnacker-Nootdorp,https://nl.wikipedia.org/wiki/Bestand:Pijnacker-Nootdorp_vlag.svg,52.031666666667,4.415
254,Purmerend,Shopping Mall,Restaurant,Supermarket,Café,Park,4,Noord-Holland,79851,23.74,3357.2,13200,https://nl.wikipedia.org/wiki/Purmerend,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Purmerend.svg,52.505,4.9641666666667
255,Putten (gemeente),Restaurant,Hotel,Fast Food Restaurant,Diner,Pool,2,Gelderland,24271,85.03,288.1,13000,https://nl.wikipedia.org/wiki/Putten_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Putten_vlag.svg,52.233333333333,5.5833333333333
256,Raalte (gemeente),Restaurant,Campground,Café,Resort,Fast Food Restaurant,3,Overijssel,37264,171.28,213.4,12500,https://nl.wikipedia.org/wiki/Raalte_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Raalte_vlag.svg,52.4,6.2833333333333
257,Reimerswaal (gemeente),Seafood Restaurant,Restaurant,Beach,Harbor / Marina,Bar,3,Zeeland,22603,102.23,215.8,11800,https://nl.wikipedia.org/wiki/Reimerswaal_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Reimerswaal.svg,51.433333333333,4.1166666666667
258,Renkum (gemeente),Restaurant,Soccer Field,Hotel,Café,Golf Course,2,Gelderland,31238,46.02,680.7,15300,https://nl.wikipedia.org/wiki/Renkum_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Renkum.svg,51.986572222222,5.7911694444444
259,Renswoude,Restaurant,Café,Fast Food Restaurant,Soccer Field,Gym,2,Utrecht,5209,18.43,271.4,12300,https://nl.wikipedia.org/wiki/Renswoude,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Renswoude.svg,52.073888888889,5.5405555555556
260,Reusel-De Mierden,Campground,Restaurant,Friterie,Café,Pool,3,Noord-Brabant,13011,77.93,163.8,13000,https://nl.wikipedia.org/wiki/Reusel-De_Mierden,https://nl.wikipedia.org/wiki/Bestand:Reusel-De_Mierden_vlag.svg,51.361666666667,5.1630555555556
261,Rheden (gemeente),French Restaurant,Restaurant,Supermarket,Diner,Hotel,4,Gelderland,43455,81.79,532.3,13900,https://nl.wikipedia.org/wiki/Rheden_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Rheden.svg,52.0,6.0333333333333
262,Rhenen,Restaurant,Exhibit,Diner,Supermarket,Ice Cream Shop,2,Utrecht,19871,42.07,458.4,13400,https://nl.wikipedia.org/wiki/Rhenen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Rhenen.svg,51.959722222222,5.5688888888889
263,Ridderkerk,Restaurant,Gym,Soccer Field,Furniture / Home Store,Supermarket,3,Zuid-Holland,46071,23.75,1896.8,13700,https://nl.wikipedia.org/wiki/Ridderkerk,https://nl.wikipedia.org/wiki/Bestand:Ridderkerk_Netherlands.svg,51.87,4.6005555555556
264,Rijssen-Holten,Restaurant,Hotel,Diner,Ice Cream Shop,Resort,3,Overijssel,38108,94.18,401.9,11800,https://nl.wikipedia.org/wiki/Rijssen-Holten,https://nl.wikipedia.org/wiki/Bestand:Vlag_ontbreekt.svg,52.3,6.5166666666667
265,Rijswijk (Zuid-Holland),Supermarket,Restaurant,Park,Gym,Turkish Restaurant,4,Zuid-Holland,52597,14.05,3443.6,15200,https://nl.wikipedia.org/wiki/Rijswijk_(Zuid-Holland),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Rijswijk.svg,52.045555555556,4.33
266,Roerdalen,Clothing Store,Gastropub,Boutique,Restaurant,Supermarket,6,Limburg,20699,88.16,235.1,12900,https://nl.wikipedia.org/wiki/Roerdalen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Roerdalen.svg,51.153055555556,6.0791666666667
267,Roermond (gemeente),Clothing Store,Bar,Boutique,Supermarket,Gastropub,6,Limburg,57972,61.02,934.1,12500,https://nl.wikipedia.org/wiki/Roermond_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Roermond_vlag.svg,51.2,5.9833333333333
268,Roosendaal (gemeente),Bar,Restaurant,Supermarket,Café,Sporting Goods Shop,1,Noord-Brabant,76964,106.43,722.3,12800,https://nl.wikipedia.org/wiki/Roosendaal_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Roosendaal_vlag.svg,51.531388888889,4.4555555555556
269,Rotterdam (gemeente),Shopping Mall,Café,Supermarket,Restaurant,Snack Place,4,Zuid-Holland,641326,206.44,3029.8,12500,https://nl.wikipedia.org/wiki/Rotterdam_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Rotterdam.svg,51.884119444444,4.2901611111111
270,Rozendaal,Supermarket,French Restaurant,Restaurant,Park,History Museum,4,Gelderland,1611,27.92,53.88,19000,https://nl.wikipedia.org/wiki/Rozendaal,https://nl.wikipedia.org/wiki/Bestand:Rozendaal_vlag.svg,52.0,5.9666666666667
271,Rucphen (gemeente),Restaurant,Supermarket,Café,Bar,Asian Restaurant,2,Noord-Brabant,22475,64.44,344.5,13000,https://nl.wikipedia.org/wiki/Rucphen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Rucphen.svg,51.531944444444,4.5597222222222
272,Saba,Restaurant,French Restaurant,Harbor / Marina,Zoo Exhibit,Fish & Chips Shop,3,Geen,2000,13.0,153.8,,https://nl.wikipedia.org/wiki/Saba,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Saba.svg,17.630555555556,-63.234722222222
273,Schagen (gemeente),Restaurant,Beach,Campground,Playground,Beach Bar,5,Noord-Holland,46532,168.05,274.1,13345,https://nl.wikipedia.org/wiki/Schagen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Schagen.svg,52.787197222222,4.7587111111111
274,Scherpenzeel (Gelderland),Restaurant,Café,Park,Campground,Fast Food Restaurant,2,Gelderland,9769,13.81,689.0,12800,https://nl.wikipedia.org/wiki/Scherpenzeel_(Gelderland),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Scherpenzeel.svg,52.066666666667,5.4833333333333
275,Schiedam,Soccer Field,Diner,Park,Fast Food Restaurant,Museum,3,Zuid-Holland,77868,18.13,4239.3,12600,https://nl.wikipedia.org/wiki/Schiedam,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Schiedam.svg,51.918055555556,4.3972222222222
276,Schiermonnikoog,Restaurant,Beach,Campground,Hotel,Café,3,Friesland,937,40.54,22.7,14200,https://nl.wikipedia.org/wiki/Schiermonnikoog,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Schiermonnikoog.svg,53.489166666667,6.2022222222222
277,Schinnen (gemeente),Supermarket,Fast Food Restaurant,Bar,Restaurant,Grocery Store,4,Limburg,12867,24.08,537.4,13200,https://nl.wikipedia.org/wiki/Schinnen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Schinnen_vlag.svg,50.942777777778,5.8894444444444
278,Schouwen-Duiveland,Restaurant,Seafood Restaurant,Harbor / Marina,Diner,Beach,2,Zeeland,33736,231.07,146.0,13500,https://nl.wikipedia.org/wiki/Schouwen-Duiveland,https://nl.wikipedia.org/wiki/Bestand:Schouwen-Duiveland_vlag.svg,51.665277777778,3.8841666666667
279,Simpelveld (gemeente),Restaurant,Playground,Beer Garden,Supermarket,Italian Restaurant,2,Limburg,10537,16.03,674.9,12600,https://nl.wikipedia.org/wiki/Simpelveld_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Simpelveld_vlag.svg,50.835,5.9822222222222
280,Sint Anthonis (gemeente),Restaurant,History Museum,Ice Cream Shop,Museum,Campground,3,Noord-Brabant,11585,99.32,116.7,13000,https://nl.wikipedia.org/wiki/Sint_Anthonis_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Sint_Anthonis_Netherlands.svg,51.625833333333,5.8811111111111
281,Sint Eustatius,Restaurant,Beach,Hotel,Fishing Spot,Exhibit,3,Geen,3300,21.0,157.1,,https://nl.wikipedia.org/wiki/Sint_Eustatius,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Sint_Eustatius.svg,17.490277777778,-62.976666666667
