,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,Latitude,Longitude
158,Hoorn (Noord-Holland),Restaurant,Supermarket,Harbor / Marina,History Museum,French Restaurant,3,Noord-Holland,72970,19.31,3723.2,13300,https://nl.wikipedia.org/wiki/Hoorn_(Noord-Holland),52.652222222222,5.0663888888889
159,Horst aan de Maas,Supermarket,Ice Cream Shop,Bar,Garden,Hotel,4,Limburg,42243,188.6,224.0,12600,https://nl.wikipedia.org/wiki/Horst_aan_de_Maas,51.436944444444,6.1061111111111
160,Houten,Restaurant,Fast Food Restaurant,Shopping Mall,Outdoor Supply Store,Café,2,Utrecht,49761,55.71,873.8,14200,https://nl.wikipedia.org/wiki/Houten,52.026111111111,5.1727777777778
161,Huizen,Restaurant,Soccer Field,Park,Hockey Field,Gym,5,Noord-Holland,41241,15.77,2614.6,14700,https://nl.wikipedia.org/wiki/Huizen,52.299444444444,5.2530555555556
162,Hulst,Restaurant,Bar,Supermarket,Furniture / Home Store,French Restaurant,3,Zeeland,27503,201.48,136.0,13100,https://nl.wikipedia.org/wiki/Hulst_(gemeente),51.315833333333,4.0538888888889
163,IJsselstein,Garden Center,Supermarket,Snack Place,Hotel,Massage Studio,0,Utrecht,34181,21.17,1606.1,13900,https://nl.wikipedia.org/wiki/IJsselstein,52.02,5.0422222222222
164,Kaag en Braassem,Park,Harbor / Marina,Grocery Store,Restaurant,Fast Food Restaurant,2,Zuid-Holland,26661,63.47,407.6,,https://nl.wikipedia.org/wiki/Kaag_en_Braassem,52.2025,4.6313888888889
165,Kampen,Park,Diner,Supermarket,Restaurant,Coffee Shop,4,Overijssel,53372,141.34,365.0,11800,https://nl.wikipedia.org/wiki/Kampen_(gemeente),52.55,5.9
166,Kapelle,Dive Spot,Farm,Supermarket,Flower Shop,Farmers Market,0,Zeeland,12712,37.14,338.6,12900,https://nl.wikipedia.org/wiki/Kapelle_(gemeente),51.5,3.95
167,Katwijk (Zuid-Holland),Beach,Bakery,Restaurant,Seafood Restaurant,Diner,2,Zuid-Holland,65023,24.65,2595.5,12500,https://nl.wikipedia.org/wiki/Katwijk_(Zuid-Holland),52.200833333333,4.4152777777778
168,Kerkrade,Supermarket,Soccer Field,Restaurant,Café,Hotel,3,Limburg,45612,21.93,2112.7,12000,https://nl.wikipedia.org/wiki/Kerkrade_(gemeente),50.864722222222,6.0605555555556
169,Koggenland,Friterie,Breakfast Spot,Chinese Restaurant,Plaza,Indian Restaurant,2,Noord-Holland,22688,80.85,277.1,13300,https://nl.wikipedia.org/wiki/Koggenland,52.648897222222,4.9397277777778
170,Kollumerland en Nieuwkruisland,Restaurant,Campground,Fast Food Restaurant,Zoo Exhibit,Farm,2,Friesland,12760,109.89,116.5,11200,https://nl.wikipedia.org/wiki/Kollumerland_en_Nieuwkruisland,53.299697222222,6.1770638888889
171,Korendijk,Restaurant,Shopping Mall,Art Museum,Café,Chinese Restaurant,2,Zuid-Holland,11154,77.91,138.1,13400,https://nl.wikipedia.org/wiki/Korendijk,51.759166666667,4.3122222222222
172,Krimpen aan den IJssel,Shopping Mall,Gym / Fitness Center,Paper / Office Supplies Store,Supermarket,Fast Food Restaurant,0,Zuid-Holland,29286,7.83,3694.8,13900,https://nl.wikipedia.org/wiki/Krimpen_aan_den_IJssel,51.916666666667,4.6
173,Krimpenerwaard,Café,Restaurant,Coffee Shop,Supermarket,History Museum,4,Zuid-Holland,55660,161.3,336.6,,https://nl.wikipedia.org/wiki/Krimpenerwaard_(gemeente),51.983333333333,4.7833333333333
174,Laarbeek,French Restaurant,Park,Brewery,Soccer Field,Gastropub,0,Noord-Brabant,22206,55.36,395.7,13000,https://nl.wikipedia.org/wiki/Laarbeek_(gemeente),51.516111111111,5.6208333333333
175,Landerd,Restaurant,Café,Gym / Fitness Center,Nightclub,Supermarket,5,Noord-Brabant,15440,70.4,216.8,12900,https://nl.wikipedia.org/wiki/Landerd,51.718611111111,5.655
176,Landgraaf,Supermarket,French Restaurant,Restaurant,Breakfast Spot,Shopping Mall,5,Limburg,37607,24.6,1521.6,12500,https://nl.wikipedia.org/wiki/Landgraaf_(gemeente),50.908333333333,6.0297222222222
177,Landsmeer,Soccer Field,Park,Café,Grocery Store,Zoo Exhibit,2,Noord-Holland,11440,22.54,481.5,15500,https://nl.wikipedia.org/wiki/Landsmeer,52.466111111111,4.9230555555556
178,Langedijk,Park,Snack Place,Grocery Store,Gym / Fitness Center,Supermarket,2,Noord-Holland,27914,24.15,1129.1,13500,https://nl.wikipedia.org/wiki/Langedijk,52.693611111111,4.7944444444444
179,Lansingerland,Restaurant,Playground,Italian Restaurant,Forest,Supermarket,5,Zuid-Holland,61257,54.0,1077.0,14600,https://nl.wikipedia.org/wiki/Lansingerland,51.998611111111,4.5038888888889
180,Laren (Noord-Holland),Restaurant,Café,Drugstore,Furniture / Home Store,Stables,3,Noord-Holland,11176,12.22,890.2,20000,https://nl.wikipedia.org/wiki/Laren_(Noord-Holland),52.2564,5.22475
181,Leek (Groningen),French Restaurant,Sporting Goods Shop,Café,Grocery Store,Supermarket,5,Groningen,19680,63.57,306.3,12400,https://nl.wikipedia.org/wiki/Leek_(Groningen),53.15,6.3833333333333
182,Leerdam,Restaurant,Bakery,Museum,Gym / Fitness Center,Jewelry Store,2,Zuid-Holland,21069,33.79,609.9,12400,https://nl.wikipedia.org/wiki/Leerdam_(hoofdbetekenis),51.893888888889,5.0913888888889
183,Leeuwarden,Bar,Supermarket,Campground,Park,Diner,4,Friesland,122335,151.7,711.0,12300,https://nl.wikipedia.org/wiki/Leeuwarden_(gemeente),53.192047222222,5.7966611111111
184,Leiden,Restaurant,Café,Coffee Shop,Bakery,Museum,4,Zuid-Holland,124294,21.95,5546.9,13700,https://nl.wikipedia.org/wiki/Leiden_(hoofdbetekenis),52.157222222222,4.4925
185,Leiderdorp,Supermarket,Restaurant,Italian Restaurant,Shopping Mall,Bakery,5,Zuid-Holland,27189,11.73,2296.5,14900,https://nl.wikipedia.org/wiki/Leiderdorp,52.161666666667,4.5283333333333
186,Leidschendam-Voorburg,Supermarket,Italian Restaurant,Restaurant,Ice Cream Shop,Park,4,Zuid-Holland,75017,32.82,2258.0,15600,https://nl.wikipedia.org/wiki/Leidschendam-Voorburg,52.09,4.39
187,Lelystad,Clothing Store,Restaurant,Sporting Goods Shop,Park,Supermarket,4,Flevoland,77495,234.13,326.0,12400,https://nl.wikipedia.org/wiki/Lelystad,52.507777777778,5.4794444444444
188,Leudal,Resort,Gastropub,Campground,Farm,Supermarket,0,Limburg,35709,162.93,222.5,13200,https://nl.wikipedia.org/wiki/Leudal_(gemeente),51.250741666667,5.8969111111111
189,Leusden,Restaurant,Park,Café,Supermarket,Clothing Store,4,Utrecht,29708,58.68,496.1,15100,https://nl.wikipedia.org/wiki/Leusden,52.133055555556,5.4297222222222
190,Lingewaal,Restaurant,Gym / Fitness Center,Museum,Bakery,Modern European Restaurant,2,Gelderland,11170,50.59,218.6,13400,https://nl.wikipedia.org/wiki/Lingewaal,51.883333333333,5.1166666666667
191,Lingewaard,Supermarket,Restaurant,Garden Center,Snack Place,Bar,3,Gelderland,46313,62.72,730.4,12900,https://nl.wikipedia.org/wiki/Lingewaard,51.9,5.9
192,Lisse,Flower Shop,Park,Garden Center,French Restaurant,Italian Restaurant,4,Zuid-Holland,22756,15.7,1436.1,13700,https://nl.wikipedia.org/wiki/Lisse,52.259722222222,4.5611111111111
193,Lochem,Restaurant,Tennis Court,Garden Center,Soccer Field,Pharmacy,4,Gelderland,33580,213.31,155.9,14500,https://nl.wikipedia.org/wiki/Lochem_(gemeente),52.160555555556,6.4325
194,Loon op Zand,Campground,Restaurant,Café,Pool,Asian Restaurant,2,Noord-Brabant,23191,50.05,458.5,13200,https://nl.wikipedia.org/wiki/Loon_op_Zand_(gemeente),51.6275,5.0758333333333
195,Lopik,Bar,Supermarket,Campground,Gym,Pizza Place,0,Utrecht,14407,75.78,186.1,13300,https://nl.wikipedia.org/wiki/Lopik_(gemeente),51.972222222222,4.9463888888889
196,Loppersum,Drugstore,Music Store,Diner,Business Service,Food & Drink Shop,2,Groningen,9676,111.02,90.8,12000,https://nl.wikipedia.org/wiki/Loppersum_(gemeente),53.316666666667,6.7333333333333
197,Losser,Café,Bookstore,Food,Grocery Store,Golf Course,2,Overijssel,22568,98.95,227.2,12200,https://nl.wikipedia.org/wiki/Losser_(gemeente),52.261666666667,7.0044444444444
198,Maasdriel,Gym,Shopping Mall,Grocery Store,Golf Course,Supermarket,3,Gelderland,24456,66.27,364.9,13300,https://nl.wikipedia.org/wiki/Maasdriel,51.766666666667,5.3333333333333
199,Maasgouw,Restaurant,Beach,Supermarket,Snack Place,Bar,3,Limburg,23702,45.99,516.0,13200,https://nl.wikipedia.org/wiki/Maasgouw_(gemeente),51.15,5.8833333333333
200,Maassluis,Restaurant,Bakery,Supermarket,Ice Cream Shop,Sandwich Place,3,Zuid-Holland,32593,8.6,3744.0,13500,https://nl.wikipedia.org/wiki/Maassluis,51.918888888889,4.2566666666667
201,Maastricht,Bar,Coffee Shop,Clothing Store,Restaurant,Café,4,Limburg,121773,56.8,2154.2,12500,https://nl.wikipedia.org/wiki/Maastricht,50.849722222222,5.6930555555556
202,Marum,Women's Store,Paintball Field,Café,Pharmacy,Garden Center,2,Groningen,10452,64.51,159.7,12200,https://nl.wikipedia.org/wiki/Marum_(gemeente),53.133333333333,6.25
203,Medemblik,Restaurant,Bistro,Drugstore,Supermarket,Fast Food Restaurant,3,Noord-Holland,44624,121.81,358.1,13400,https://nl.wikipedia.org/wiki/Medemblik_(gemeente),52.743888888889,5.0613888888889
204,Meerssen,Supermarket,Bistro,Drugstore,Friterie,Gastropub,5,Limburg,18957,27.15,702.1,13700,https://nl.wikipedia.org/wiki/Meerssen_(gemeente),50.885833333333,5.7519444444444
205,Meierijstad,Supermarket,French Restaurant,Gastropub,Fast Food Restaurant,Café,0,Noord-Brabant,80500,184.1,437.0,,https://nl.wikipedia.org/wiki/Meierijstad,51.583333,5.483333
206,Meppel,Restaurant,Pool,Garden Center,Baseball Field,Gym Pool,5,Drenthe,33571,55.68,589.3,12800,https://nl.wikipedia.org/wiki/Meppel,52.7,6.1833333333333
207,Middelburg,Restaurant,Café,Supermarket,Plaza,Beer Garden,4,Zeeland,48445,48.64,979.9,12900,https://nl.wikipedia.org/wiki/Middelburg_(gemeente),51.5,3.6166666666667
208,Midden-Delfland,Golf Course,Café,Vegetarian / Vegan Restaurant,Bakery,Gastropub,2,Zuid-Holland,19372,47.45,394.4,14200,https://nl.wikipedia.org/wiki/Midden-Delfland,51.962222222222,4.2997222222222
209,Midden-Drenthe,Restaurant,Park,Supermarket,Café,Vegetarian / Vegan Restaurant,5,Drenthe,33141,341.53,97.4,12400,https://nl.wikipedia.org/wiki/Midden-Drenthe,52.85,6.5
210,Midden-Groningen,Restaurant,Shopping Mall,Supermarket,Pool,Asian Restaurant,5,Groningen,60977,314.0,194.2,,https://nl.wikipedia.org/wiki/Midden-Groningen_(gemeente),53.184722,6.811111
211,Mill en Sint Hubert,Chinese Restaurant,Soccer Field,Gym,Construction & Landscaping,Food,0,Noord-Brabant,10821,52.22,206.6,12000,https://nl.wikipedia.org/wiki/Mill_en_Sint_Hubert,51.680833333333,5.7952777777778
212,Moerdijk,Supermarket,Soccer Field,Bar,Fast Food Restaurant,Harbor / Marina,5,Noord-Brabant,36933,159.1,231.0,13400,https://nl.wikipedia.org/wiki/Moerdijk_(gemeente),51.655,4.5325
213,Molenwaard,Supermarket,Furniture / Home Store,Modern European Restaurant,Gym,Steakhouse,0,Zuid-Holland,29291,118.58,244.5,12500,https://nl.wikipedia.org/wiki/Molenwaard,51.866666666667,4.7833333333333
214,Montferland,Diner,Soccer Field,Creperie,Electronics Store,Forest,0,Gelderland,35777,105.63,332.8,12500,https://nl.wikipedia.org/wiki/Montferland_(gemeente),51.933333333333,6.15
215,Montfoort,Snack Place,Brewery,Lounge,Grocery Store,Castle,0,Utrecht,13992,37.75,363.1,13800,https://nl.wikipedia.org/wiki/Montfoort,52.045,4.9508333333333
216,Mook en Middelaar,Supermarket,Playground,Soccer Field,Fast Food Restaurant,Park,0,Limburg,7770,17.38,445.7,14800,https://nl.wikipedia.org/wiki/Mook_en_Middelaar,51.7525,5.8816666666667
217,Neder-Betuwe,Exhibit,Bar,French Restaurant,Supermarket,Soccer Field,3,Gelderland,23674,61.12,372.9,11600,https://nl.wikipedia.org/wiki/Neder-Betuwe_(gemeente),51.933333333333,5.6333333333333
218,Nederweert,Supermarket,Ice Cream Shop,Bar,Gastropub,Shopping Mall,0,Limburg,16953,100.28,167.3,12500,https://nl.wikipedia.org/wiki/Nederweert_(gemeente),51.282777777778,5.7472222222222
219,Neerijnen,Restaurant,Art Gallery,Brewery,Café,Chinese Restaurant,5,Gelderland,12381,66.03,182.6,13200,https://nl.wikipedia.org/wiki/Neerijnen_(gemeente),51.833333333333,5.2833333333333
220,Nieuwegein,Restaurant,Shopping Mall,Supermarket,Coffee Shop,Sandwich Place,4,Utrecht,62674,23.72,2583.5,14000,https://nl.wikipedia.org/wiki/Nieuwegein,52.031388888889,5.0919444444444
221,Nieuwkoop,Grocery Store,Café,Restaurant,Beach Bar,Bar,5,Zuid-Holland,28432,91.18,298.8,14100,https://nl.wikipedia.org/wiki/Nieuwkoop,52.150277777778,4.7827777777778
222,Nijkerk,Restaurant,Plaza,Supermarket,Café,Bookstore,3,Gelderland,42544,69.51,588.5,13400,https://nl.wikipedia.org/wiki/Nijkerk_(gemeente),52.2,5.4833333333333
223,Nijmegen,Restaurant,Park,Hotel,Bar,Café,4,Gelderland,176162,53.59,3189.8,12600,https://nl.wikipedia.org/wiki/Nijmegen_(hoofdbetekenis),51.833333333333,5.8666666666667
224,Nissewaard,Shopping Mall,Supermarket,Restaurant,Tennis Court,Park,2,Zuid-Holland,84479,82.25,1034.4,,https://nl.wikipedia.org/wiki/Nissewaard,51.833333,4.3
225,Noord-Beveland,Harbor / Marina,Restaurant,Café,Campground,Lake,2,Zeeland,7281,86.08,86.0,13400,https://nl.wikipedia.org/wiki/Noord-Beveland,51.575277777778,3.7708333333333
226,Noordenveld,Restaurant,Café,Outdoors & Recreation,French Restaurant,Supermarket,2,Drenthe,31353,201.22,154.7,13400,https://nl.wikipedia.org/wiki/Noordenveld_(gemeente),53.133333333333,6.4166666666667
227,Noordoostpolder,Supermarket,Restaurant,Diner,Hotel,Garden,5,Flevoland,46589,460.05,101.0,11800,https://nl.wikipedia.org/wiki/Noordoostpolder,52.71,5.7052777777778
228,Noordwijk (Zuid-Holland),Restaurant,Beach,Café,Beach Bar,Lounge,2,Zuid-Holland,26112,35.41,722.8,15000,https://nl.wikipedia.org/wiki/Noordwijk_(Zuid-Holland),52.239444444444,4.4477777777778
229,Noordwijkerhout,Park,Restaurant,Beach,French Restaurant,BBQ Joint,2,Zuid-Holland,16584,22.6,712.6,13800,https://nl.wikipedia.org/wiki/Noordwijkerhout,52.259444444444,4.4919444444444
230,"Nuenen, Gerwen en Nederwetten",Art Gallery,Supermarket,Belgian Restaurant,Flower Shop,Park,1,Noord-Brabant,23060,33.88,666.0,15200,"https://nl.wikipedia.org/wiki/Nuenen,_Gerwen_en_Nederwetten",51.486944444444,5.5258333333333
231,Nunspeet,Restaurant,French Restaurant,Café,Hotel,Steakhouse,2,Gelderland,27179,128.73,207.7,12400,https://nl.wikipedia.org/wiki/Nunspeet_(gemeente),52.333333333333,5.7833333333333
232,Nuth,Snack Place,Motorcycle Shop,Campground,Tennis Court,Liquor Store,5,Limburg,15195,33.15,467.2,13800,https://nl.wikipedia.org/wiki/Nuth_(gemeente),50.910833333333,5.8586111111111
233,Oegstgeest,Gym / Fitness Center,Restaurant,Indian Restaurant,Chinese Restaurant,Tennis Court,3,Zuid-Holland,23958,7.21,3192.4,16800,https://nl.wikipedia.org/wiki/Oegstgeest,52.183330555556,4.4736111111111
234,Oirschot,Supermarket,Diner,Bar,Shopping Mall,Farm,3,Noord-Brabant,18580,101.75,177.6,13400,https://nl.wikipedia.org/wiki/Oirschot_(gemeente),51.504722222222,5.3127777777778
235,Oisterwijk,Café,Supermarket,Park,Restaurant,Bar,1,Noord-Brabant,26162,65.13,396.0,14300,https://nl.wikipedia.org/wiki/Oisterwijk_(gemeente),51.583333333333,5.2
236,Oldambt,Restaurant,Supermarket,Creperie,Chinese Restaurant,Shopping Mall,5,Groningen,38033,163.7,168.0,,https://nl.wikipedia.org/wiki/Oldambt_(gemeente),53.199452777778,7.0848083333333
237,Oldebroek,Shopping Mall,Snack Place,Seafood Restaurant,Supermarket,Restaurant,5,Gelderland,23465,97.63,235.6,12000,https://nl.wikipedia.org/wiki/Oldebroek_(gemeente),52.466666666667,5.9166666666667
238,Oldenzaal,Café,Shopping Mall,Restaurant,Furniture / Home Store,Playground,5,Overijssel,31821,21.59,1484.3,12800,https://nl.wikipedia.org/wiki/Oldenzaal,52.3,6.9166666666667
239,Olst-Wijhe,Restaurant,Snack Place,Diner,Supermarket,Trail,5,Overijssel,18002,114.16,156.4,12600,https://nl.wikipedia.org/wiki/Olst-Wijhe,52.333333333333,6.1
240,Ommen,Restaurant,Soccer Field,Campground,Diner,Café,1,Overijssel,17686,179.99,97.2,12900,https://nl.wikipedia.org/wiki/Ommen_(gemeente),52.516666666667,6.4166666666667
241,Onderbanken,Supermarket,Pool,Café,Brewery,Food Court,0,Limburg,7775,21.18,371.3,12000,https://nl.wikipedia.org/wiki/Onderbanken,50.968055555556,5.9719444444444
242,Oost Gelre,Supermarket,Pizza Place,Lake,Bookstore,Shopping Mall,0,Gelderland,29655,83.07,355.2,12300,https://nl.wikipedia.org/wiki/Oost_Gelre,51.983333333333,6.5833333333333
243,Oosterhout,Tapas Restaurant,Supermarket,Golf Course,Garden Center,Restaurant,1,Noord-Brabant,55286,71.59,750.2,13600,https://nl.wikipedia.org/wiki/Oosterhout_(gemeente),51.643333333333,4.8566666666667
244,Ooststellingwerf,Grocery Store,Nature Preserve,Restaurant,Resort,Coffee Shop,4,Friesland,25419,224.38,114.2,11900,https://nl.wikipedia.org/wiki/Ooststellingwerf,52.9875,6.2913888888889
245,Oostzaan,Café,Dutch Restaurant,Bakery,BBQ Joint,Martial Arts Dojo,2,Noord-Holland,9748,11.49,805.9,14200,https://nl.wikipedia.org/wiki/Oostzaan,52.440555555556,4.8788888888889
246,Opmeer,Supermarket,Gym,Business Service,Garden Center,Flower Shop,0,Noord-Holland,11570,41.66,270.9,13100,https://nl.wikipedia.org/wiki/Opmeer,52.703333333333,4.9444444444444
247,Opsterland,Restaurant,Supermarket,Women's Store,Soccer Field,Golf Course,5,Friesland,29735,225.07,132.5,12500,https://nl.wikipedia.org/wiki/Opsterland,53.003611111111,6.0663888888889
248,Oss,Coffee Shop,Restaurant,Tea Room,Diner,Music Venue,4,Noord-Brabant,91057,152.5,589.5,13000,https://nl.wikipedia.org/wiki/Oss_(gemeente),51.765288888889,5.5233777777778
249,Oud-Beijerland,Restaurant,Garden Center,Supermarket,Gastropub,Soccer Field,5,Zuid-Holland,24295,18.76,1263.0,13700,https://nl.wikipedia.org/wiki/Oud-Beijerland,51.812436111111,4.4075777777778
250,Oude IJsselstreek,Supermarket,Restaurant,Soccer Field,Hotel,Park,5,Gelderland,39527,136.47,289.5,12100,https://nl.wikipedia.org/wiki/Oude_IJsselstreek,51.866666666667,6.3833333333333
251,Ouder-Amstel,Restaurant,Tennis Court,Golf Course,Ice Cream Shop,Fried Chicken Joint,5,Noord-Holland,13636,24.12,551.8,16300,https://nl.wikipedia.org/wiki/Ouder-Amstel,52.290555555556,4.9116666666667
252,Oudewater,Museum,Diner,French Restaurant,Restaurant,Gym,2,Utrecht,10201,39.34,252.3,14300,https://nl.wikipedia.org/wiki/Oudewater,52.026666666667,4.8686111111111
253,Overbetuwe,Restaurant,Supermarket,Garden Center,Bistro,Golf Course,5,Gelderland,47469,109.59,427.4,13000,https://nl.wikipedia.org/wiki/Overbetuwe,51.916666666667,5.85
254,Papendrecht,Supermarket,Restaurant,Shopping Mall,Diner,Park,2,Zuid-Holland,32306,9.47,3394.0,13600,https://nl.wikipedia.org/wiki/Papendrecht,51.829444444444,4.6891666666667
255,Peel en Maas,Diner,Bar,Campground,Supermarket,Pool,1,Limburg,43331,161.3,269.3,,https://nl.wikipedia.org/wiki/Peel_en_Maas,51.34005,6.0108944444444
256,Pekela,Soccer Field,Pharmacy,Organic Grocery,Athletics & Sports,Supermarket,0,Groningen,12229,49.12,258.1,11100,https://nl.wikipedia.org/wiki/Pekela,53.1,7.0
257,Pijnacker-Nootdorp,Park,Supermarket,Farm,Tea Room,Restaurant,2,Zuid-Holland,53830,37.65,1365.2,14300,https://nl.wikipedia.org/wiki/Pijnacker-Nootdorp,52.031666666667,4.415
258,Purmerend,Shopping Mall,Supermarket,Restaurant,Gym,Plaza,5,Noord-Holland,79851,23.74,3357.2,13200,https://nl.wikipedia.org/wiki/Purmerend,52.505,4.9641666666667
259,Putten,Pool,Bar,Hotel,Harbor / Marina,Flower Shop,3,Gelderland,24271,85.03,288.1,13000,https://nl.wikipedia.org/wiki/Putten_(gemeente),52.233333333333,5.5833333333333
260,Raalte,Restaurant,Museum,Fast Food Restaurant,Concert Hall,Food Court,2,Overijssel,37264,171.28,213.4,12500,https://nl.wikipedia.org/wiki/Raalte_(gemeente),52.4,6.2833333333333
261,Reimerswaal,Campground,Gym,Farmers Market,Beach,Food Truck,0,Zeeland,22603,102.23,215.8,11800,https://nl.wikipedia.org/wiki/Reimerswaal_(gemeente),51.433333333333,4.1166666666667
262,Renkum,Restaurant,Soccer Field,Hotel,Golf Course,French Restaurant,1,Gelderland,31238,46.02,680.7,15300,https://nl.wikipedia.org/wiki/Renkum_(gemeente),51.986572222222,5.7911694444444
263,Renswoude,Restaurant,Creperie,Castle,Farm,Farmers Market,2,Utrecht,5209,18.43,271.4,12300,https://nl.wikipedia.org/wiki/Renswoude,52.073888888889,5.5405555555556
264,Reusel-De Mierden,Restaurant,Supermarket,Campground,Ice Cream Shop,Playground,5,Noord-Brabant,13011,77.93,163.8,13000,https://nl.wikipedia.org/wiki/Reusel-De_Mierden,51.361666666667,5.1630555555556
265,Rheden,Restaurant,French Restaurant,Scenic Lookout,Café,Hotel,1,Gelderland,43455,81.79,532.3,13900,https://nl.wikipedia.org/wiki/Rheden_(gemeente),52.0,6.0333333333333
266,Rhenen,Exhibit,Restaurant,Café,Creperie,Food Court,1,Utrecht,19871,42.07,458.4,13400,https://nl.wikipedia.org/wiki/Rhenen,51.959722222222,5.5688888888889
267,Ridderkerk,Restaurant,Supermarket,French Restaurant,Flower Shop,Furniture / Home Store,5,Zuid-Holland,46071,23.75,1896.8,13700,https://nl.wikipedia.org/wiki/Ridderkerk,51.87,4.6005555555556
268,Rijssen-Holten,Restaurant,Brasserie,Shoe Store,Bakery,Campground,5,Overijssel,38108,94.18,401.9,11800,https://nl.wikipedia.org/wiki/Rijssen-Holten,52.3,6.5166666666667
269,Rijswijk (Zuid-Holland),Supermarket,Restaurant,Park,Golf Course,Diner,5,Zuid-Holland,52597,14.05,3443.6,15200,https://nl.wikipedia.org/wiki/Rijswijk_(Zuid-Holland),52.045555555556,4.33
270,Roerdalen,Restaurant,Chinese Restaurant,Fast Food Restaurant,Golf Course,National Park,5,Limburg,20699,88.16,235.1,12900,https://nl.wikipedia.org/wiki/Roerdalen,51.153055555556,6.0791666666667
271,Roermond,Clothing Store,Gastropub,Restaurant,Bar,Boutique,2,Limburg,57972,61.02,934.1,12500,https://nl.wikipedia.org/wiki/Roermond_(gemeente),51.2,5.9833333333333
272,Roosendaal,Restaurant,Bar,Café,Supermarket,Grocery Store,5,Noord-Brabant,76964,106.43,722.3,12800,https://nl.wikipedia.org/wiki/Roosendaal_(gemeente),51.531388888889,4.4555555555556
273,Rotterdam,Supermarket,Shopping Mall,Restaurant,Café,Park,1,Zuid-Holland,641326,206.44,3029.8,12500,https://nl.wikipedia.org/wiki/Rotterdam_(gemeente),51.884119444444,4.2901611111111
274,Rozendaal,French Restaurant,Supermarket,Bakery,Fast Food Restaurant,Restaurant,4,Gelderland,1611,27.92,53.88,19000,https://nl.wikipedia.org/wiki/Rozendaal,52.0,5.9666666666667
275,Rucphen,Restaurant,Pool,Chinese Restaurant,Soccer Field,Ski Area,3,Noord-Brabant,22475,64.44,344.5,13000,https://nl.wikipedia.org/wiki/Rucphen_(gemeente),51.531944444444,4.5597222222222
276,Saba,Mountain,Museum,Caribbean Restaurant,Diner,Bar,0,Geen,2000,13.0,153.8,,https://nl.wikipedia.org/wiki/Saba,17.630555555556,-63.234722222222
277,Schagen,Restaurant,Beach,Bar,Playground,Supermarket,3,Noord-Holland,46532,168.05,274.1,13345,https://nl.wikipedia.org/wiki/Schagen_(gemeente),52.787197222222,4.7587111111111
278,Scherpenzeel (Gelderland),Hotel,Bakery,Café,Gastropub,Flower Shop,2,Gelderland,9769,13.81,689.0,12800,https://nl.wikipedia.org/wiki/Scherpenzeel_(Gelderland),52.066666666667,5.4833333333333
279,Schiedam,Plaza,Soccer Field,Park,Diner,Big Box Store,0,Zuid-Holland,77868,18.13,4239.3,12600,https://nl.wikipedia.org/wiki/Schiedam,51.918055555556,4.3972222222222
280,Schiermonnikoog,Beach,Restaurant,Scenic Lookout,Café,Hotel,2,Friesland,937,40.54,22.7,14200,https://nl.wikipedia.org/wiki/Schiermonnikoog,53.489166666667,6.2022222222222
281,Schinnen,Supermarket,Restaurant,Paper / Office Supplies Store,Soccer Field,Big Box Store,0,Limburg,12867,24.08,537.4,13200,https://nl.wikipedia.org/wiki/Schinnen_(gemeente),50.942777777778,5.8894444444444
282,Schouwen-Duiveland,Seafood Restaurant,Restaurant,Plaza,Café,Hotel,2,Zeeland,33736,231.07,146.0,13500,https://nl.wikipedia.org/wiki/Schouwen-Duiveland,51.665277777778,3.8841666666667
283,Simpelveld,Restaurant,Soccer Field,Café,Diner,Supermarket,5,Limburg,10537,16.03,674.9,12600,https://nl.wikipedia.org/wiki/Simpelveld_(gemeente),50.835,5.9822222222222
284,Sint Anthonis,Campground,Forest,Track,Ice Cream Shop,Soccer Field,1,Noord-Brabant,11585,99.32,116.7,13000,https://nl.wikipedia.org/wiki/Sint_Anthonis_(gemeente),51.625833333333,5.8811111111111
285,Sint Eustatius,Beach,Restaurant,Hotel,Farm,Farmers Market,2,Geen,3300,21.0,157.1,,https://nl.wikipedia.org/wiki/Sint_Eustatius,17.490277777778,-62.976666666667
286,Sint-Michielsgestel,Restaurant,Fast Food Restaurant,Tea Room,Music Venue,Karaoke Bar,2,Noord-Brabant,28781,58.97,480.9,13800,https://nl.wikipedia.org/wiki/Sint-Michielsgestel_(gemeente),51.643333333333,5.3586111111111
287,Sittard-Geleen,Supermarket,Plaza,Gastropub,Café,Restaurant,4,Limburg,92758,79.09,1183.8,12800,https://nl.wikipedia.org/wiki/Sittard-Geleen,51.0,5.85
288,Sliedrecht,Supermarket,Furniture / Home Store,Snack Place,Diner,Garden Center,2,Zuid-Holland,25077,12.78,1939.8,12700,https://nl.wikipedia.org/wiki/Sliedrecht,51.822222222222,4.7744444444444
289,Sluis,Restaurant,Supermarket,Beach Bar,Beach,Tea Room,2,Zeeland,23525,280.27,84.7,13200,https://nl.wikipedia.org/wiki/Sluis_(gemeente),51.328888888889,3.5016666666667
290,Smallingerland,Restaurant,Shopping Mall,Forest,Supermarket,Golf Course,2,Friesland,55927,118.48,468.8,12200,https://nl.wikipedia.org/wiki/Smallingerland,53.108333333333,6.0983333333333
