,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,Latitude,Longitude
49,Borsele,Campground,Fast Food Restaurant,Pool,Dog Run,Snack Place,0,Zeeland,22799,142.03,158.8,12600,https://nl.wikipedia.org/wiki/Borsele_(gemeente),51.426111111111,3.8216666666667
50,Boxmeer,Ice Cream Shop,Park,Market,Café,Supermarket,1,Noord-Brabant,28941,111.56,255.1,13300,https://nl.wikipedia.org/wiki/Boxmeer_(gemeente),51.648333333333,5.9444444444444
51,Boxtel,Restaurant,Plaza,Lake,Snack Place,Museum,3,Noord-Brabant,30621,63.7,475.8,13200,https://nl.wikipedia.org/wiki/Boxtel_(gemeente),51.591111111111,5.3275
52,Breda,Coffee Shop,Bar,Restaurant,French Restaurant,Supermarket,3,Noord-Brabant,183851,126.87,1432.8,13800,https://nl.wikipedia.org/wiki/Breda_(gemeente),51.5875,4.775
53,Brielle,Supermarket,Pizza Place,Café,Harbor / Marina,Ice Cream Shop,1,Zuid-Holland,17107,27.49,602.3,14600,https://nl.wikipedia.org/wiki/Brielle,51.903055555556,4.1638888888889
54,Bronckhorst,Bar,Restaurant,Gastropub,Café,Park,1,Gelderland,36281,283.63,129.2,13400,https://nl.wikipedia.org/wiki/Bronckhorst_(hoofdbetekenis),52.05,6.3
55,Brummen,Supermarket,Soccer Field,Fast Food Restaurant,Campground,Café,5,Gelderland,20747,84.01,249.4,13400,https://nl.wikipedia.org/wiki/Brummen_(gemeente),52.1,6.1
56,Brunssum,Supermarket,Gym,Restaurant,Park,Museum,5,Limburg,28209,17.17,1664.4,12000,https://nl.wikipedia.org/wiki/Brunssum,50.949166666667,5.97
57,Bunnik,Restaurant,Park,Coffee Shop,Garden,Golf Course,4,Utrecht,15185,36.95,396.6,15900,https://nl.wikipedia.org/wiki/Bunnik_(gemeente),52.067222222222,5.1969444444444
58,Bunschoten,Fast Food Restaurant,Café,Fish Market,Restaurant,Print Shop,2,Utrecht,21437,30.5,677.5,12400,https://nl.wikipedia.org/wiki/Bunschoten,52.248055555556,5.3736111111111
59,Buren,Restaurant,Pool,Museum,Garden Center,Flea Market,3,Gelderland,26431,134.66,194.4,13400,https://nl.wikipedia.org/wiki/Buren_(gemeente),51.910555555556,5.3333333333333
60,Capelle aan den IJssel,Shopping Mall,Creperie,Park,Paper / Office Supplies Store,Chinese Restaurant,2,Zuid-Holland,66992,14.3,4642.6,13900,https://nl.wikipedia.org/wiki/Capelle_aan_den_IJssel,51.93,4.59
61,Castricum,Restaurant,Beach,Snack Place,Supermarket,Campground,1,Noord-Holland,35627,49.5,693.9,15000,https://nl.wikipedia.org/wiki/Castricum,52.551666666667,4.6583333333333
62,Coevorden,Shopping Mall,Supermarket,Café,Snack Place,Pool,1,Drenthe,35266,296.68,119.7,12300,https://nl.wikipedia.org/wiki/Coevorden,52.65,6.7333333333333
63,Cranendonck,Bar,Restaurant,Campground,Supermarket,Park,3,Noord-Brabant,20320,76.79,266.8,13300,https://nl.wikipedia.org/wiki/Cranendonck,51.285277777778,5.5880555555556
64,Cromstrijen,Harbor / Marina,Soccer Field,Supermarket,Pizza Place,Tapas Restaurant,0,Zuid-Holland,12834,54.37,235.0,14300,https://nl.wikipedia.org/wiki/Cromstrijen,51.746666666667,4.4461111111111
65,Cuijk,Restaurant,Supermarket,Soccer Field,Trail,Diner,3,Noord-Brabant,24876,52.5,469.3,12500,https://nl.wikipedia.org/wiki/Cuijk_(gemeente),51.726944444444,5.8794444444444
66,Culemborg,Bookstore,Construction & Landscaping,Beach,Shopping Mall,Dog Run,4,Gelderland,28323,29.58,930.4,13400,https://nl.wikipedia.org/wiki/Culemborg,51.95,5.2333333333333
67,Dalfsen,Restaurant,Soccer Field,Chinese Restaurant,Plaza,Music Venue,2,Overijssel,28329,165.18,168.1,12700,https://nl.wikipedia.org/wiki/Dalfsen_(gemeente),52.506388888889,6.2605555555556
68,Dantumadeel,Sandwich Place,Skating Rink,Café,Fish & Chips Shop,Asian Restaurant,5,Friesland,18941,85.78,221.7,11100,https://nl.wikipedia.org/wiki/Dantumadeel,53.28,5.9830555555556
69,De Bilt,Restaurant,Park,Bakery,Gym,Shoe Store,4,Utrecht,42775,66.33,636.5,16700,https://nl.wikipedia.org/wiki/De_Bilt_(gemeente),52.111944444444,5.1825
70,De Friese Meren,Restaurant,Harbor / Marina,Diner,Supermarket,Grocery Store,1,Friesland,51601,356.43,143.8,12334,https://nl.wikipedia.org/wiki/De_Friese_Meren,52.925,5.6833333333333
71,De Marne,Supermarket,Restaurant,Plaza,Harbor / Marina,Café,5,Groningen,10013,167.45,60.4,11900,https://nl.wikipedia.org/wiki/De_Marne,53.35,6.3666666666667
72,De Ronde Venen,Restaurant,Chinese Restaurant,Bookstore,Park,Gym,2,Utrecht,43965,84.4,504.4,15000,https://nl.wikipedia.org/wiki/De_Ronde_Venen,52.211666666667,4.8913888888889
73,De Wolden,Chinese Restaurant,Restaurant,Soccer Field,Plaza,Shopping Mall,3,Drenthe,24031,224.78,105.2,12700,https://nl.wikipedia.org/wiki/De_Wolden,52.666666666667,6.4166666666667
74,Delft,Café,Coffee Shop,Golf Course,Restaurant,Bakery,4,Zuid-Holland,102230,23.21,4352.5,13000,https://nl.wikipedia.org/wiki/Delft,52.011111111111,4.3575
75,Delfzijl,Café,Restaurant,Department Store,Diner,Shopping Mall,2,Groningen,24759,132.47,191.4,12100,https://nl.wikipedia.org/wiki/Delfzijl,53.333333333333,6.9166666666667
76,Den Haag,Coffee Shop,Park,Café,Seafood Restaurant,Sandwich Place,4,Zuid-Holland,534158,82.66,6231.3,13400,https://nl.wikipedia.org/wiki/Den_Haag,52.095555555556,4.3163888888889
77,Den Helder,Café,Museum,Comfort Food Restaurant,Gastropub,Rock Club,2,Noord-Holland,55559,45.43,1244.3,12600,https://nl.wikipedia.org/wiki/Den_Helder,52.958333333333,4.7588888888889
78,Deurne (Nederlandse gemeente),Restaurant,Supermarket,Golf Course,Gym,Chinese Restaurant,5,Noord-Brabant,32177,119.02,266.9,12800,https://nl.wikipedia.org/wiki/Deurne_(Nederlandse_gemeente),51.463888888889,5.7947222222222
79,Deventer,Restaurant,Gym / Fitness Center,Ice Cream Shop,Diner,Soccer Field,3,Overijssel,99630,131.31,750.9,12500,https://nl.wikipedia.org/wiki/Deventer_(gemeente),52.25,6.15
80,Diemen,Supermarket,Café,Shopping Mall,Park,Restaurant,1,Noord-Holland,28654,11.99,2225.8,14100,https://nl.wikipedia.org/wiki/Diemen,52.343888888889,4.9625
81,Dinkelland,Restaurant,Soccer Field,Laser Tag,Planetarium,Construction & Landscaping,2,Overijssel,26305,175.78,147.6,12400,https://nl.wikipedia.org/wiki/Dinkelland,52.366666666667,7.0
82,Doesburg,French Restaurant,Restaurant,Harbor / Marina,Pizza Place,Pub,2,Gelderland,11283,11.64,978.6,12600,https://nl.wikipedia.org/wiki/Doesburg,52.016666666667,6.1333333333333
83,Doetinchem,Bar,Café,Ice Cream Shop,Gastropub,Plaza,3,Gelderland,57392,79.14,714.4,12700,https://nl.wikipedia.org/wiki/Doetinchem_(gemeente),51.966666666667,6.2833333333333
84,Dongen,Bar,Playground,Athletics & Sports,Food,Garden Center,0,Noord-Brabant,25853,29.34,863.9,12900,https://nl.wikipedia.org/wiki/Dongen_(gemeente),51.625833333333,4.9433333333333
85,Dongeradeel,Sandwich Place,Café,Supermarket,Restaurant,Skating Rink,5,Friesland,23791,167.27,143.2,11400,https://nl.wikipedia.org/wiki/Dongeradeel,53.360386111111,6.0452277777778
86,Dordrecht,Restaurant,Supermarket,Ice Cream Shop,Bakery,Park,4,Zuid-Holland,118307,79.53,1496.4,12900,https://nl.wikipedia.org/wiki/Dordrecht,51.8,4.6666666666667
87,Drechterland,Supermarket,Café,Shopping Mall,Harbor / Marina,Fast Food Restaurant,0,Noord-Holland,19426,59.17,326.4,13800,https://nl.wikipedia.org/wiki/Drechterland_(gemeente),52.695,5.1752777777778
88,Drimmelen,Restaurant,Modern European Restaurant,Garden Center,Creperie,Snack Place,5,Noord-Brabant,27073,96.24,277.5,13700,https://nl.wikipedia.org/wiki/Drimmelen_(gemeente),51.694444444444,4.7972222222222
89,Dronten,Park,Restaurant,Soccer Field,Garden Center,Golf Course,5,Flevoland,40687,334.35,121.1,12200,https://nl.wikipedia.org/wiki/Dronten,52.522222222222,5.7183333333333
90,Druten,Sports Club,Plaza,Restaurant,Bar,Gym,3,Gelderland,18788,38.02,481.0,12600,https://nl.wikipedia.org/wiki/Druten,51.888888888889,5.6044444444444
91,Duiven,Supermarket,Furniture / Home Store,Café,Electronics Store,Athletics & Sports,5,Gelderland,25393,34.06,747.7,12600,https://nl.wikipedia.org/wiki/Duiven_(gemeente),51.947222222222,6.0211111111111
92,Echt-Susteren,Soccer Field,Ice Cream Shop,Supermarket,Restaurant,Athletics & Sports,1,Limburg,31681,103.2,310.1,12700,https://nl.wikipedia.org/wiki/Echt-Susteren,51.083333333333,5.8666666666667
93,Edam-Volendam,Restaurant,Bar,Café,Fish & Chips Shop,Seafood Restaurant,3,Noord-Holland,36010,16.31,1783.9,13900,https://nl.wikipedia.org/wiki/Edam-Volendam,52.501944444444,5.0613888888889
94,Ede,Restaurant,French Restaurant,Supermarket,Bar,Shopping Mall,0,Gelderland,114913,318.33,351.4,12900,https://nl.wikipedia.org/wiki/Ede_(gemeente),52.05,5.6666666666667
95,Eemnes,Restaurant,Golf Course,Coffee Shop,Art Gallery,Café,3,Utrecht,9093,31.03,283.6,14400,https://nl.wikipedia.org/wiki/Eemnes,52.253888888889,5.2572222222222
96,Eemsmond,Soccer Field,Campground,Harbor / Marina,Fast Food Restaurant,Gym,0,Groningen,15520,189.63,83.2,11200,https://nl.wikipedia.org/wiki/Eemsmond,53.4,6.6666666666667
97,Eersel,Restaurant,Diner,Soccer Field,Supermarket,Italian Restaurant,1,Noord-Brabant,18886,82.44,223.0,13800,https://nl.wikipedia.org/wiki/Eersel_(gemeente),51.357222222222,5.3147222222222
98,Eijsden-Margraten,Restaurant,French Restaurant,Supermarket,Café,Gastropub,3,Limburg,25530,77.4,322.9,13300,https://nl.wikipedia.org/wiki/Eijsden-Margraten,50.791666666667,5.7561111111111
99,Eindhoven,Coffee Shop,Restaurant,Park,French Restaurant,Italian Restaurant,4,Noord-Brabant,229637,87.75,2551.3,13400,https://nl.wikipedia.org/wiki/Eindhoven,51.435555555556,5.4805555555556
100,Elburg,Restaurant,Supermarket,Pool,Diner,Seafood Restaurant,3,Gelderland,23067,63.83,358.8,12100,https://nl.wikipedia.org/wiki/Elburg_(gemeente),52.45,5.85
101,Emmen,Supermarket,Shopping Mall,Café,Bar,Exhibit,1,Drenthe,107167,337.48,319.1,11900,https://nl.wikipedia.org/wiki/Emmen_(gemeente),52.783333333333,6.8833333333333
102,Enkhuizen,Harbor / Marina,Pizza Place,Bar,Diner,Café,0,Noord-Holland,18472,12.42,1481.1,12900,https://nl.wikipedia.org/wiki/Enkhuizen,52.703611111111,5.2852777777778
103,Enschede,Park,Restaurant,Ice Cream Shop,Hotel,Bakery,4,Overijssel,157907,141.09,1122.0,11500,https://nl.wikipedia.org/wiki/Enschede,52.219444444444,6.8963888888889
104,Epe,Campground,Café,Restaurant,Museum,Steakhouse,0,Gelderland,32978,156.21,206.1,13100,https://nl.wikipedia.org/wiki/Epe_(gemeente),52.333333333333,5.9166666666667
105,Ermelo,Café,Diner,Supermarket,Restaurant,French Restaurant,1,Gelderland,26761,85.67,306.6,13700,https://nl.wikipedia.org/wiki/Ermelo_(gemeente),52.283333333333,5.6666666666667
